TimeSlot,mMTC_BW,URLLC_BW,eMBB_BW
813,191.616002775784,295.028787046401,513.355210177815
814,191.235208051711,280.277347694081,528.487444254208
815,187.451160167616,266.263480309377,546.285359523007
816,188.553608150498,252.950306293908,558.496085555594
817,181.289735426813,278.76580886781,539.944455705377
818,178.984024496859,289.551994364582,531.463981138559
819,179.662889433903,275.074394646353,545.262715919744
820,180.891133937401,261.320674914036,557.788191148563
821,177.103282335438,248.254641168334,574.642076496228
822,176.296807781702,235.841909109917,587.86128310838
823,175.928313758391,224.049813654421,600.021872587188
824,177.395870111018,212.8473229717,609.756806917281
825,178.911742387505,202.204956823115,618.88330078938
826,174.64761672513,207.094708981959,618.257674292911
827,170.111028780853,211.739973532861,618.148997686286
828,168.380422381053,201.152974856218,630.466602762728
829,167.823776820399,191.095326113407,641.080897066194
830,171.063780544394,181.540559807737,647.395659647869
831,172.560550606478,172.46353181735,654.975917576172
832,174.239810289888,163.840355226483,661.919834483629
833,175.04400492897,155.648337465159,669.307657605871
834,181.264706595813,147.865920591901,670.869372812286
835,188.556873376034,140.472624562306,670.970502061661
836,196.658778478388,133.44899333419,669.892228187422
837,203.325065116574,126.776543667481,669.898391215946
838,211.529255931975,120.437716484107,668.033027583918
839,214.994278335917,114.415830659901,670.589891004181
840,216.947614600901,108.695039126906,674.357346272193
841,222.192020618727,103.260287170561,674.547692210712
842,230.146160870586,99.8100886307289,670.043750498685
843,236.91765914795,99.4846282598253,663.597712592225
844,239.734341162296,99.454036805955,660.81162203175
845,241.643502540126,99.4511623477268,658.905335112147
846,244.341839273943,99.4508922641638,656.207268461894
847,245.063867043858,99.4508668872376,655.485266068904
848,233.191429868898,130.777911515064,636.030658616038
849,232.704624323657,124.239015939311,643.056359737032
850,224.319371382181,133.027065142346,642.653563475473
851,223.902517812348,126.375711885228,649.721770302424
852,225.214336626771,120.056926290967,654.728737082262
853,224.979270983311,114.054079976419,660.96664904027
854,227.798596028479,108.351375977598,663.850027993924
855,229.509672311726,102.933807178718,667.556520509556
856,228.508349688609,99.7792002859516,671.71245002544
857,224.274197309163,99.4817241199733,676.244078570863
858,221.07725122439,99.4537639177457,679.468984857864
859,219.076560141176,99.4511367071382,681.472303151686
860,213.140910002465,109.478579871781,677.380510125754
861,210.360413001473,127.203191606467,662.436395392059
862,206.528278940584,142.431902114063,651.039818945354
863,203.555710939009,159.257256215257,637.187032845734
864,201.99257485183,176.022665061522,621.984760086649
865,201.226734328078,193.674311041654,605.098954630268
866,204.041880481907,183.990595489571,611.967524028521
867,205.560286683026,174.791065715093,619.648647601882
868,202.879967239785,189.004959456464,608.115073303752
869,193.771777657062,217.099725809175,589.128496533763
870,191.990534582322,227.833091134054,580.176374283624
871,190.630905601615,237.839961795984,571.529132602401
872,189.831452270484,225.947963706185,584.220584023331
873,189.111911347594,214.650565520876,596.23752313153
874,184.650187409976,225.859904185566,589.489908404458
875,177.277400871715,252.733151186551,569.989447941734
876,170.006231118104,277.052746695482,552.941022186414
877,167.5151267667,285.341160651435,547.143712581865
878,168.043551345051,289.97828353555,541.978165119399
879,167.316978644237,295.946103267551,536.736918088212
880,166.82451547586,306.628675199171,526.546809324969
881,162.205985639887,329.444493287521,508.349521072592
882,156.164584390526,350.953335919436,492.882079690039
883,156.177526829755,357.953048408748,485.869424761497
884,156.746369993058,365.896901961007,477.356728045935
885,158.458609542779,377.298020339791,464.24337011743
886,159.85917907466,386.200543868292,453.940277057048
887,161.98419117577,396.53128401663,441.4845248076
888,161.911258075857,404.005804627154,434.082937296988
889,164.079144364297,411.631505098096,424.289350537607
890,163.738486387611,416.061682940655,420.199830671734
891,164.761200741149,424.209201447511,411.02959781134
892,164.538671994107,430.116655655508,405.344672350385
893,164.623673733318,433.849370994079,401.526955272603
894,167.513444717795,442.545319341471,389.941235940734
